user_id,step,timestamp
user_1076,landing,2024-03-01 09:00:48.348101836
user_0552,landing,2024-03-01 09:00:48.833165066
user_0265,landing,2024-03-01 09:01:01.566110870
user_0716,landing,2024-03-01 09:01:54.768948524
user_1199,landing,2024-03-01 09:02:34.985745978
user_0583,landing,2024-03-01 09:06:45.675265629
user_1184,landing,2024-03-01 09:07:06.061843545
user_0271,landing,2024-03-01 09:14:27.377041542
user_0265,registration,2024-03-01 09:19:01.566110870
user_0049,landing,2024-03-01 09:21:51.962532940
user_0170,landing,2024-03-01 09:22:53.761658260
user_1029,landing,2024-03-01 09:23:20.956215955
user_1199,registration,2024-03-01 09:26:34.985745978
user_0779,landing,2024-03-01 09:28:52.007894832
user_0583,registration,2024-03-01 09:29:45.675265629
user_0502,landing,2024-03-01 09:30:21.969628491
user_0552,registration,2024-03-01 09:34:48.833165066
user_1199,deposit_form,2024-03-01 09:35:34.985745978
user_0839,landing,2024-03-01 09:36:07.866342482
user_0635,landing,2024-03-01 09:38:17.363501412
user_1076,registration,2024-03-01 09:38:48.348101836
user_0049,registration,2024-03-01 09:39:51.962532940
user_1029,registration,2024-03-01 09:43:20.956215955
user_1184,registration,2024-03-01 09:44:06.061843545
user_0271,registration,2024-03-01 09:44:27.377041542
user_0839,registration,2024-03-01 09:45:07.866342482
user_0442,landing,2024-03-01 09:47:39.303739906
user_1123,landing,2024-03-01 09:47:51.560832444
user_1184,deposit_form,2024-03-01 09:51:06.061843545
user_0196,landing,2024-03-01 09:52:43.036344836
user_0597,landing,2024-03-01 09:53:10.675021765
user_1099,landing,2024-03-01 09:53:18.799138849
user_1199,deposit_success,2024-03-01 10:00:34.985745978
user_1099,registration,2024-03-01 10:03:18.799138849
user_0675,landing,2024-03-01 10:03:28.526339365
user_0954,landing,2024-03-01 10:05:33.847888747
user_1076,deposit_form,2024-03-01 10:05:48.348101836
user_0403,landing,2024-03-01 10:08:20.826985639
user_1023,landing,2024-03-01 10:09:59.142990391
user_1029,deposit_form,2024-03-01 10:10:20.956215955
user_0040,landing,2024-03-01 10:11:39.565258101
user_0502,registration,2024-03-01 10:14:21.969628491
user_0442,registration,2024-03-01 10:14:39.303739906
user_0552,deposit_form,2024-03-01 10:14:48.833165066
user_0049,deposit_form,2024-03-01 10:16:51.962532940
user_0200,landing,2024-03-01 10:18:14.159646363
user_1099,deposit_form,2024-03-01 10:20:18.799138849
user_1029,deposit_success,2024-03-01 10:20:20.956215955
user_0839,deposit_form,2024-03-01 10:21:07.866342482
user_0416,landing,2024-03-01 10:26:30.831455972
user_0954,registration,2024-03-01 10:26:33.847888747
user_0403,registration,2024-03-01 10:27:20.826985639
user_0675,registration,2024-03-01 10:27:28.526339365
user_0196,registration,2024-03-01 10:28:43.036344836
user_0597,registration,2024-03-01 10:29:10.675021765
user_0040,registration,2024-03-01 10:30:39.565258101
user_1099,deposit_success,2024-03-01 10:32:18.799138849
user_0552,deposit_success,2024-03-01 10:35:48.833165066
user_0202,landing,2024-03-01 10:39:27.459160956
user_0040,deposit_form,2024-03-01 10:39:39.565258101
user_0040,deposit_success,2024-03-01 10:40:39.565258101
user_1134,landing,2024-03-01 10:43:26.871958110
user_1148,landing,2024-03-01 10:46:20.981411648
user_0502,deposit_form,2024-03-01 10:47:21.969628491
user_0442,deposit_form,2024-03-01 10:54:39.303739906
user_0597,deposit_form,2024-03-01 10:55:10.675021765
user_0522,landing,2024-03-01 10:57:21.795581664
user_0723,landing,2024-03-01 10:58:52.972788396
user_1148,registration,2024-03-01 10:59:20.981411648
user_0522,registration,2024-03-01 11:00:21.795581664
user_0803,landing,2024-03-01 11:02:18.282325171
user_0803,registration,2024-03-01 11:03:18.282325171
user_0442,deposit_success,2024-03-01 11:04:39.303739906
user_0345,landing,2024-03-01 11:06:59.040340088
user_0202,registration,2024-03-01 11:07:27.459160956
user_0364,landing,2024-03-01 11:09:29.154494998
user_1016,landing,2024-03-01 11:09:41.529293038
user_0889,landing,2024-03-01 11:09:42.740581377
user_0158,landing,2024-03-01 11:11:38.381988548
user_0632,landing,2024-03-01 11:11:58.419278602
user_1135,landing,2024-03-01 11:13:37.284457213
user_0196,deposit_form,2024-03-01 11:13:43.036344836
user_0311,landing,2024-03-01 11:15:13.559723355
user_0012,landing,2024-03-01 11:15:16.405404480
user_0677,landing,2024-03-01 11:15:44.536135723
user_0202,deposit_form,2024-03-01 11:18:27.459160956
user_0597,deposit_success,2024-03-01 11:19:10.675021765
user_1134,registration,2024-03-01 11:23:26.871958110
user_0193,landing,2024-03-01 11:24:51.607083513
user_0364,registration,2024-03-01 11:25:29.154494998
user_0010,landing,2024-03-01 11:28:33.504673065
user_0797,landing,2024-03-01 11:31:14.051517924
user_0196,deposit_success,2024-03-01 11:33:43.036344836
user_0193,registration,2024-03-01 11:34:51.607083513
user_0419,landing,2024-03-01 11:36:12.770632018
user_1135,registration,2024-03-01 11:37:37.284457213
user_0156,landing,2024-03-01 11:38:28.286189242
user_0278,landing,2024-03-01 11:38:40.918180977
user_1135,deposit_form,2024-03-01 11:40:37.284457213
user_1016,registration,2024-03-01 11:40:41.529293038
user_0345,registration,2024-03-01 11:42:59.040340088
user_0156,registration,2024-03-01 11:45:28.286189242
user_0193,deposit_form,2024-03-01 11:46:51.607083513
user_0202,deposit_success,2024-03-01 11:47:27.459160956
user_0867,landing,2024-03-01 11:48:12.733925443
user_0094,landing,2024-03-01 11:49:17.095874329
user_0257,landing,2024-03-01 11:50:19.429506715
user_0573,landing,2024-03-01 11:51:47.338125037
user_0193,deposit_success,2024-03-01 11:52:51.607083513
user_1024,landing,2024-03-01 11:53:23.992274925
user_1135,deposit_success,2024-03-01 11:53:37.284457213
user_0257,registration,2024-03-01 11:57:19.429506715
user_1063,landing,2024-03-01 11:59:37.266392238
user_0977,landing,2024-03-01 12:01:04.424172855
user_1063,registration,2024-03-01 12:05:37.266392238
user_0592,landing,2024-03-01 12:08:57.167542478
user_1032,landing,2024-03-01 12:14:23.176064223
user_0273,landing,2024-03-01 12:14:50.095535506
user_0128,landing,2024-03-01 12:15:20.679291525
user_0302,landing,2024-03-01 12:17:36.335164203
user_1134,deposit_form,2024-03-01 12:18:26.871958110
user_0573,registration,2024-03-01 12:18:47.338125037
user_0419,registration,2024-03-01 12:21:12.770632018
user_0094,registration,2024-03-01 12:25:17.095874329
user_0079,landing,2024-03-01 12:26:08.020297676
user_0082,landing,2024-03-01 12:27:36.873151869
user_0181,landing,2024-03-01 12:27:46.131715490
user_0372,landing,2024-03-01 12:28:16.560472656
user_0977,registration,2024-03-01 12:29:04.424172855
user_1147,landing,2024-03-01 12:32:38.061048966
user_0977,deposit_form,2024-03-01 12:33:04.424172855
