month,deposits,churn_rate,net_revenue
2022-01-01,122483.57076505617,0.17455617275474816,101103.30742697259
2022-02-01,123960.85240718754,0.1798048780710117,101672.08645453451
2022-03-01,131470.99374686592,0.16588136857360306,109662.40537640419
2022-04-01,137571.67102117056,0.17984393670519583,112830.24012561115
2022-05-01,128366.13200883275,0.16877622179646412,106700.9812417558
2022-06-01,126090.18478047149,0.17056132337163246,104584.0760001406
2022-07-01,131809.10755579782,0.1661568469211843,109908.12184883122
2022-08-01,124402.3910370689,0.18939234706248068,100841.53021837391
2022-09-01,115941.81614439756,0.169430245143925,96297.76581262039
2022-10-01,120582.36543532112,0.1576837602756584,101568.4846305461
2022-11-01,117276.44743609696,0.17518197086016232,96731.72823876327
2022-12-01,120845.26427562698,0.15344373741333323,102302.3152764728
2023-01-01,129035.89831435191,0.16643646203700407,107559.61992314456
2023-02-01,122911.85964627622,0.14344677702207181,105280.54952222866
2023-03-01,127434.04885031906,0.1484572699457983,108515.53785986119
2023-04-01,134971.1710494473,0.16240339496738687,113051.39464829318
2023-05-01,132298.83023729903,0.1665151005825628,110269.07721337979
2023-06-01,136658.1931847155,0.15953976976842144,114855.77650705753
2023-07-01,127199.01005717654,0.15536525630655237,107436.70325770357
2023-08-01,121329.78584114963,0.15220635434845492,102862.62146438946
2023-09-01,133443.51887520181,0.1391278235745866,114877.81252396072
2023-10-01,124566.77067148038,0.14541025356822682,106453.48496196527
2023-11-01,127757.26388012062,0.14669796011648908,109015.53387884292
2023-12-01,123876.2590689327,0.16057122226218914,103985.29674096659
2024-01-01,,,112261.01772223719
2024-02-01,,,110272.47783899473
2024-03-01,,,112925.35377841839
