bonus_pct,user_conversion_rate,average_LTV,gross_margin,ltv_elasticity_per_pct,expected_revenue,contribution_margin
0.0,0.08,120.0,0.55,0.0,9.6,5.28
0.025,0.08442718872423573,130.27755885211636,0.535,4.111023540846543,10.998968047740355,5.884447905541091
0.05,0.08626099033699941,139.57707866757795,0.52,3.7198079261846373,12.040057034210548,6.260829657789485
0.07500000000000001,0.08766811580507232,147.99163216637447,0.505,3.3658213995186075,12.974147546943383,6.5519445112064085
0.1,0.08885437744847145,155.60543502815094,0.49000000000000005,3.0455211447105865,13.826224057024925,6.774849787942214
0.125,0.08989949493661166,162.4946887510356,0.47500000000000003,2.7557014891538643,14.608190448600013,6.938890463085007
0.15000000000000002,0.09084435336938076,168.72834330184514,0.46,2.493461820323817,15.32801724234301,7.050887931477785
0.17500000000000002,0.09171324037147706,174.36878719052777,0.44500000000000006,2.2561775554730517,15.991926492887803,7.116407289335073
0.2,0.09252198067399882,179.4724718753401,0.43000000000000005,2.0414738739249287,16.605148574365014,7.140213886976957
0.225,0.0932815661727072,184.0904767480153,0.41500000000000004,1.847201949070086,17.172247988535208,7.126482915242112
0.25,0.094,188.26902035348422,0.4,1.671417442187567,17.697287913227516,7.078915165291007
0.275,0.09468332387438212,192.04992296060743,0.385,1.5123610428492817,18.18392505572933,7.000811146455792
0.30000000000000004,0.09533623161014465,195.4710251134822,0.37,1.3684408611499066,18.63547092329134,6.895124241617796
0.325,0.09596245595138793,198.56656635232665,0.35500000000000004,1.2382164955377806,19.054935377003495,6.764502058836242
0.35000000000000003,0.09656502339267892,201.36752789430653,0.34,1.1203846167919551,19.445060041639636,6.611320414157476
0.375,0.09714642819948224,203.90194270396958,0.32500000000000007,1.013765923865219,19.808345436626123,6.437712266903492
0.4,0.09770875489694293,206.19517605657722,0.31000000000000005,0.9172933410430574,20.1470739182441,6.245592914655672
0.42500000000000004,0.09825376673456741,208.27017940230465,0.29500000000000004,0.8300013382909673,20.463329624760547,6.036682239304362
0.45,0.09878297101099824,210.14772007206867,0.28,0.7510162679056087,20.75901613990653,5.812524519173829
0.47500000000000003,0.09929766825292631,211.84658912395543,0.265,0.679547620754704,21.035872327344514,5.574506166746296
0.5,0.09979898987322333,213.38378941044584,0.25000000000000006,0.614880114596167,21.295486638483105,5.323871659620777
